area_id,num_transactions,age_0_17,age_18_64,age_65+,avg_age
E09000001,842113,1018,4349,1320,43.91012412
E09000002,4649347,60281,123180,19640,33.01732143
E09000003,58025525,88754,237036,52988,37.19558158
E09000004,2867212,56028,146237,40122,38.88074855
E09000005,26303807,75033,211885,36525,35.76641634
E09000006,4850975,72176,196323,56804,39.85342896
E09000007,8242186,46242,169330,28265,35.93427577
E09000008,6479553,93166,237511,49393,36.89643487
E09000009,15534369,81217,222669,40399,36.14345963
E09000010,49916158,83274,203384,42080,36.19075069
E09000011,20076343,66010,179854,28678,34.85864094
E09000012,22453809,61120,188145,19361,32.97352825
E09000013,20534866,34398,129350,18435,35.6878139
E09000014,27513713,60298,182741,25212,34.98277732
E09000015,30302784,57186,152725,36907,38.03760666
E09000016,2746294,54279,149202,45894,40.05118797
E09000017,12991039,70644,186478,38934,36.37235861
E09000018,2677909,62349,173737,30326,35.74139678
E09000019,13897938,40109,167416,19982,34.48417411
E09000020,13659812,28328,107647,22614,38.88847272
E09000021,858899,37534,111139,22936,37.07246123
E09000022,33399023,62418,233025,25293,34.32011997
E09000023,29986860,67332,200119,27548,34.88531148
E09000024,6431064,46260,134778,24927,36.59316389
E09000025,30147202,83982,228855,23417,32.03827166
E09000026,13560498,75418,186229,36281,35.73675183
E09000027,2766978,44364,120918,28842,38.72640168
E09000028,40562818,62902,221000,24532,34.20065557
E09000029,1304548,46142,123600,30128,38.44916196
E09000030,27358813,64797,211354,17677,31.5147263
E09000031,46309951,65030,177768,27873,34.9906233
E09000032,11880748,61036,229044,29397,34.81199586
E09000033,14078449,42610,167188,28249,37.157952
